Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_2,Install Cofferdam [Phase_2],-23.375000,94.598253,7,85,-0.002108,-0.014320,0.014474,-0.002108,-0.014320,0.014474,-0.014320,0.002108,-0.000000,0.000000,-369.413829,-110.824149
Phase_2,Install Cofferdam [Phase_2],-23.375000,94.948690,7,85,-0.002206,-0.014323,0.014492,-0.002206,-0.014323,0.014492,-0.014323,0.002206,-0.000000,0.000000,-358.065065,-107.419520
Phase_2,Install Cofferdam [Phase_2],-23.375000,95.299127,7,85,-0.002304,-0.014325,0.014510,-0.002304,-0.014325,0.014510,-0.014325,0.002304,-0.000000,0.000000,-346.708294,-104.012488
Phase_2,Install Cofferdam [Phase_2],-23.375000,95.649563,7,85,-0.002402,-0.014328,0.014528,-0.002402,-0.014328,0.014528,-0.014328,0.002402,-0.000000,0.000000,-335.351523,-100.605457
Phase_2,Install Cofferdam [Phase_2],-23.375000,96.000000,7,85,-0.002500,-0.014331,0.014547,-0.002500,-0.014331,0.014547,-0.014331,0.002500,-0.000000,0.000000,-324.002759,-97.200828
Phase_2,Install Cofferdam [Phase_2],-34.660000,93.369829,7,86,-0.001011,-0.026758,0.026777,-0.001011,-0.026758,0.026777,-0.026758,0.001011,-0.000001,0.000000,-409.213952,-122.764186
Phase_2,Install Cofferdam [Phase_2],-34.660000,93.823865,7,86,-0.001057,-0.026762,0.026783,-0.001057,-0.026762,0.026783,-0.026762,0.001057,-0.000000,0.000000,-394.510185,-118.353055
Phase_2,Install Cofferdam [Phase_2],-34.660000,94.277900,7,86,-0.001103,-0.026766,0.026788,-0.001103,-0.026766,0.026788,-0.026766,0.001103,-0.000000,0.000000,-379.796043,-113.938813
Phase_2,Install Cofferdam [Phase_2],-34.660000,94.731935,7,86,-0.001149,-0.026770,0.026794,-0.001149,-0.026770,0.026794,-0.026770,0.001149,-0.000000,0.000000,-365.081901,-109.524570
Phase_2,Install Cofferdam [Phase_2],-34.660000,95.185970,7,86,-0.001194,-0.026773,0.026800,-0.001194,-0.026773,0.026800,-0.026773,0.001194,-0.000000,0.000000,-350.378133,-105.113440
Phase_2,Install Cofferdam [Phase_2],-34.660000,95.185970,7,87,-0.001194,-0.026773,0.026800,-0.001194,-0.026773,0.026800,-0.026773,0.001194,-0.000000,0.000000,-350.372956,-105.111887
Phase_2,Install Cofferdam [Phase_2],-34.660000,95.389478,7,87,-0.001215,-0.026775,0.026802,-0.001215,-0.026775,0.026802,-0.026775,0.001215,-0.000000,0.000000,-343.782443,-103.134733
Phase_2,Install Cofferdam [Phase_2],-34.660000,95.592985,7,87,-0.001236,-0.026776,0.026805,-0.001236,-0.026776,0.026805,-0.026776,0.001236,-0.000000,0.000000,-337.187279,-101.156184
