Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_19,Ramped Internal Load [Phase_19],-18.475000,100.453507,12,43,-0.041976,-0.001435,0.042000,-0.004923,-0.012630,0.013556,-0.001435,-0.041976,0.000000,-2.464929,-0.050000,1.000000,0.000000,-2.464929,-2.464929,-2.464929,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.902925,8,44,-0.031314,-0.054020,0.062440,-0.002782,-0.004610,0.005384,0.054020,0.031314,-13.511879,-13.511879,5.946060,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.689694,8,44,-0.030974,-0.052456,0.060918,-0.002381,-0.004219,0.004844,0.052456,0.030974,-18.960999,-19.064061,8.316989,1.000000,0.000000,-0.103062,-0.103062,-0.103062,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.476463,8,44,-0.030685,-0.050852,0.059393,-0.001904,-0.004127,0.004546,0.050852,0.030685,-26.783541,-29.018916,11.720601,1.000000,0.000000,-2.235375,-2.235375,-2.235375,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.263231,8,44,-0.031023,-0.049069,0.058054,-0.001654,-0.004204,0.004518,0.049069,0.031023,-76.666175,-81.033863,31.829487,0.952275,0.000000,-4.367687,-4.367687,-4.367687,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.050000,8,44,-0.031423,-0.047923,0.057306,-0.001674,-0.004445,0.004750,0.047923,0.031423,-139.985855,-146.485855,37.159418,0.609418,0.000000,-6.500000,-6.500000,-6.500000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,101.675439,8,45,-0.032903,-0.058259,0.066908,-0.003232,-0.004333,0.005406,0.058259,0.032903,-22.753575,-22.753575,9.967151,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,101.482311,8,45,-0.032585,-0.057457,0.066054,-0.003250,-0.004443,0.005505,0.057457,0.032585,-24.900706,-24.900706,10.901374,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,101.289182,8,45,-0.032224,-0.056511,0.065053,-0.003205,-0.004544,0.005561,0.056511,0.032224,-24.492928,-24.492928,10.723948,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,101.096054,8,45,-0.031801,-0.055414,0.063891,-0.003000,-0.004558,0.005457,0.055414,0.031801,-20.852173,-20.852173,9.139845,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
