Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-13.135000,100.837988,4,26,-0.028584,-0.037774,0.047370,-0.001852,-0.016441,0.016545,-0.037774,0.028584,473.569274,-257.617653,775.014787,155.002957
Phase_19,Ramped Internal Load [Phase_19],-13.135000,100.837988,4,27,-0.028584,-0.037774,0.047370,-0.001852,-0.016441,0.016545,-0.037774,0.028584,473.569274,-257.617653,775.015830,155.003166
Phase_19,Ramped Internal Load [Phase_19],-13.135000,101.040167,4,27,-0.029089,-0.037762,0.047667,-0.002054,-0.016426,0.016554,-0.037762,0.029089,421.496316,-257.617653,777.188228,155.437646
Phase_19,Ramped Internal Load [Phase_19],-13.135000,101.242347,4,27,-0.029682,-0.037750,0.048022,-0.002185,-0.016412,0.016556,-0.037750,0.029682,369.399283,-257.617653,779.362159,155.872432
Phase_19,Ramped Internal Load [Phase_19],-13.135000,101.444526,4,27,-0.030349,-0.037738,0.048427,-0.002252,-0.016397,0.016551,-0.037738,0.030349,317.302250,-257.617653,781.536091,156.307218
Phase_19,Ramped Internal Load [Phase_19],-13.135000,101.646706,4,27,-0.031079,-0.037726,0.048879,-0.002264,-0.016382,0.016538,-0.037726,0.031079,265.229292,-257.617653,783.708489,156.741698
Phase_19,Ramped Internal Load [Phase_19],-13.135000,101.646706,4,28,-0.031079,-0.037726,0.048879,-0.002264,-0.016382,0.016538,-0.037726,0.031079,265.229292,-257.617653,783.709560,156.741912
Phase_19,Ramped Internal Load [Phase_19],-13.135000,101.854204,4,28,-0.031878,-0.037713,0.049382,-0.002228,-0.016367,0.016518,-0.037713,0.031878,211.786434,-257.617653,785.939108,157.187822
Phase_19,Ramped Internal Load [Phase_19],-13.135000,102.061702,4,28,-0.032717,-0.037701,0.049917,-0.002154,-0.016352,0.016493,-0.037701,0.032717,158.318867,-257.617653,788.170230,157.634046
Phase_19,Ramped Internal Load [Phase_19],-13.135000,102.269200,4,28,-0.033580,-0.037689,0.050478,-0.002049,-0.016337,0.016465,-0.037689,0.033580,104.851300,-257.617653,790.401352,158.080270
Phase_19,Ramped Internal Load [Phase_19],-13.135000,102.476699,4,28,-0.034454,-0.037676,0.051055,-0.001923,-0.016322,0.016435,-0.037676,0.034454,51.408441,-257.617653,792.630900,158.526180
Phase_19,Ramped Internal Load [Phase_19],-13.135000,102.476699,4,29,-0.034454,-0.037676,0.051055,-0.001923,-0.016322,0.016435,-0.037676,0.034454,51.408441,-257.617653,792.631999,158.526400
Phase_19,Ramped Internal Load [Phase_19],-13.135000,102.689656,4,29,-0.035349,-0.037663,0.051654,-0.001783,-0.016307,0.016404,-0.037663,0.035349,-3.440357,-257.617653,794.920201,158.984040
Phase_19,Ramped Internal Load [Phase_19],-13.135000,102.902613,4,29,-0.036227,-0.037650,0.052249,-0.001641,-0.016291,0.016374,-0.037650,0.036227,-58.314513,-257.617653,797.210018,159.442004
Phase_19,Ramped Internal Load [Phase_19],-13.135000,103.115570,4,29,-0.037073,-0.037637,0.052830,-0.001507,-0.016276,0.016346,-0.037637,0.037073,-113.188669,-257.617653,799.499834,159.899967
Phase_19,Ramped Internal Load [Phase_19],-13.135000,103.328527,4,29,-0.037873,-0.037624,0.053385,-0.001391,-0.016261,0.016320,-0.037624,0.037873,-168.037467,-257.617653,801.788036,160.357607
Phase_19,Ramped Internal Load [Phase_19],-13.135000,103.328527,4,30,-0.037873,-0.037624,0.053385,-0.001391,-0.016261,0.016320,-0.037624,0.037873,-168.037467,-257.617653,801.789164,160.357833
Phase_19,Ramped Internal Load [Phase_19],-13.135000,103.547086,4,30,-0.038630,-0.037611,0.053915,-0.001301,-0.016245,0.016297,-0.037611,0.038630,-224.329191,-257.617653,804.137562,160.827512
